ticker,period_start_filing,period_end_filing,price_start,price_end,return_pct
META,2023-08-14,2023-11-14,303.52,333.38,9.84
META,2023-11-14,2024-02-14,333.38,469.16,40.73
META,2024-02-14,2024-05-15,469.16,477.85,1.85
META,2024-05-15,2024-08-14,477.85,523.25,9.50
META,2024-08-14,2024-11-14,523.25,573.86,9.67
META,2024-11-14,2025-02-14,573.86,733.05,27.74
META,2025-02-14,2025-05-15,733.05,641.28,-12.52
META,2025-05-15,2025-08-14,641.28,779.57,21.56
META,2025-08-14,2025-11-14,779.57,607.88,-22.02
META,2025-11-14,2026-02-17,607.88,638.15,4.98
META,2026-02-17,2026-05-18,638.15,610.64,-4.31
MRVL,2020-05-15,2020-08-14,25.69,32.80,27.65
MRVL,2020-08-14,2020-11-16,32.80,42.37,29.20
MRVL,2020-11-16,2021-02-16,42.37,51.86,22.39
MRVL,2021-02-16,2021-06-01,51.86,46.83,-9.70
MRVL,2021-06-01,2021-08-16,46.83,58.08,24.03
MRVL,2021-08-16,2021-11-15,58.08,71.66,23.38
MRVL,2021-11-15,2022-02-14,71.66,66.63,-7.02
MRVL,2022-02-14,2022-05-16,66.63,54.37,-18.41
MRVL,2022-05-16,2022-08-15,54.37,54.69,0.59
MRVL,2022-08-15,2022-11-14,54.69,42.60,-22.11
MRVL,2022-11-14,2023-02-14,42.60,46.67,9.56
MRVL,2023-02-14,2023-05-15,46.67,41.65,-10.76
MRVL,2023-05-15,2023-08-14,41.65,59.03,41.74
MRVL,2023-08-14,2023-11-14,59.03,56.58,-4.16
MRVL,2023-11-14,2024-02-14,56.58,68.49,21.05
MRVL,2024-02-14,2024-05-15,68.49,69.73,1.81
MRVL,2024-05-15,2024-08-14,69.73,63.46,-8.99
MRVL,2024-08-14,2024-11-14,63.46,90.31,42.30
MRVL,2024-11-14,2025-02-14,90.31,106.10,17.49
MRVL,2025-02-14,2025-05-15,106.10,65.02,-38.72
MRVL,2025-05-15,2025-08-14,65.02,78.89,21.33
MRVL,2025-08-14,2025-11-14,78.89,86.34,9.45
MRVL,2025-11-14,2026-02-17,86.34,78.97,-8.54
MRVL,2026-02-17,2026-05-18,78.97,168.93,113.92
MSFT,2020-05-15,2020-08-14,173.61,198.56,14.37
MSFT,2020-08-14,2020-11-16,198.56,206.97,4.24
MSFT,2020-11-16,2021-02-16,206.97,232.80,12.48
MSFT,2021-02-16,2021-06-01,232.80,237.43,1.99
MSFT,2021-06-01,2021-08-16,237.43,282.73,19.08
MSFT,2021-08-16,2021-11-15,282.73,323.14,14.30
MSFT,2021-11-15,2022-02-14,323.14,284.17,-12.06
MSFT,2022-02-14,2022-05-16,284.17,252.42,-11.17
MSFT,2022-05-16,2022-08-15,252.42,283.94,12.49
MSFT,2022-08-15,2022-11-14,283.94,234.20,-17.52
MSFT,2022-11-14,2023-02-14,234.20,264.64,12.99
MSFT,2023-02-14,2023-05-15,264.64,301.65,13.99
MSFT,2023-05-15,2023-08-14,301.65,316.55,4.94
MSFT,2023-08-14,2023-11-14,316.55,362.48,14.51
MSFT,2023-11-14,2024-02-14,362.48,402.43,11.02
MSFT,2024-02-14,2024-05-15,402.43,416.53,3.51
MSFT,2024-05-15,2024-08-14,416.53,410.41,-1.47
MSFT,2024-08-14,2024-11-14,410.41,421.04,2.59
MSFT,2024-11-14,2025-02-14,421.04,403.64,-4.13
MSFT,2025-02-14,2025-05-15,403.64,449.54,11.37
MSFT,2025-05-15,2025-08-14,449.54,518.34,15.30
MSFT,2025-08-14,2025-11-14,518.34,506.97,-2.19
MSFT,2025-11-14,2026-02-17,506.97,395.10,-22.07
MSFT,2026-02-17,2026-05-18,395.10,422.62,6.97
MU,2020-05-15,2020-08-14,43.31,44.47,2.68
MU,2020-08-14,2020-11-16,44.47,60.33,35.66
MU,2020-11-16,2021-02-16,60.33,85.57,41.84
MU,2021-02-16,2021-06-01,85.57,82.07,-4.09
MU,2021-06-01,2021-08-16,82.07,69.18,-15.71
MU,2021-08-16,2021-11-15,69.18,74.99,8.40
MU,2021-11-15,2022-02-14,74.99,87.86,17.16
MU,2022-02-14,2022-05-16,87.86,68.99,-21.47
MU,2022-05-16,2022-08-15,68.99,63.47,-8.01
MU,2022-08-15,2022-11-14,63.47,60.73,-4.31
MU,2022-11-14,2023-02-14,60.73,61.15,0.70
MU,2023-02-14,2023-05-15,61.15,63.82,4.35
MU,2023-05-15,2023-08-14,63.82,67.54,5.83
MU,2023-08-14,2023-11-14,67.54,76.46,13.21
MU,2023-11-14,2024-02-14,76.46,81.18,6.18
MU,2024-02-14,2024-05-15,81.18,126.92,56.34
MU,2024-05-15,2024-08-14,126.92,99.80,-21.37
MU,2024-08-14,2024-11-14,99.80,98.69,-1.11
MU,2024-11-14,2025-02-14,98.69,99.15,0.47
MU,2025-02-14,2025-05-15,99.15,95.22,-3.96
MU,2025-05-15,2025-08-14,95.22,125.11,31.39
MU,2025-08-14,2025-11-14,125.11,246.63,97.13
MU,2025-11-14,2026-02-17,246.63,399.61,62.03
MU,2026-02-17,2026-05-18,399.61,681.54,70.55
NTNX,2020-05-15,2020-08-14,20.29,21.20,4.48
NTNX,2020-08-14,2020-11-16,21.20,26.71,25.99
NTNX,2020-11-16,2021-02-16,26.71,34.62,29.61
NTNX,2021-02-16,2021-06-01,34.62,32.55,-5.98
NTNX,2021-06-01,2021-08-16,32.55,36.62,12.50
NTNX,2021-08-16,2021-11-15,36.62,34.77,-5.05
NTNX,2021-11-15,2022-02-14,34.77,26.21,-24.62
NTNX,2022-02-14,2022-05-16,26.21,21.97,-16.18
NTNX,2022-05-16,2022-08-15,21.97,17.92,-18.43
NTNX,2022-08-15,2022-11-14,17.92,28.26,57.70
NTNX,2022-11-14,2023-02-14,28.26,29.37,3.93
NTNX,2023-02-14,2023-05-15,29.37,26.14,-11.00
NTNX,2023-05-15,2023-08-14,26.14,29.98,14.69
NTNX,2023-08-14,2023-11-14,29.98,40.04,33.56
NTNX,2023-11-14,2024-02-14,40.04,57.74,44.21
NTNX,2024-02-14,2024-05-15,57.74,69.01,19.52
NTNX,2024-05-15,2024-08-14,69.01,51.26,-25.72
NTNX,2024-08-14,2024-11-14,51.26,71.09,38.69
NTNX,2024-11-14,2025-02-14,71.09,70.47,-0.87
NTNX,2025-02-14,2025-05-15,70.47,80.66,14.46
NTNX,2025-05-15,2025-08-14,80.66,68.61,-14.94
NTNX,2025-08-14,2025-11-14,68.61,65.91,-3.94
NTNX,2025-11-14,2026-02-17,65.91,40.95,-37.87
NTNX,2026-02-17,2026-05-18,40.95,47.45,15.87
NVDA,2020-05-15,2020-08-14,8.45,11.51,36.26
NVDA,2020-08-14,2020-11-16,11.51,13.46,16.91
NVDA,2020-11-16,2021-02-16,13.46,15.27,13.46
NVDA,2021-02-16,2021-06-01,15.27,16.20,6.13
NVDA,2021-06-01,2021-08-16,16.20,19.88,22.69
NVDA,2021-08-16,2021-11-15,19.88,29.93,50.53
NVDA,2021-11-15,2022-02-14,29.93,24.19,-19.17
NVDA,2022-02-14,2022-05-16,24.19,17.21,-28.85
NVDA,2022-05-16,2022-08-15,17.21,18.98,10.26
NVDA,2022-08-15,2022-11-14,18.98,16.25,-14.36
NVDA,2022-11-14,2023-02-14,16.25,22.92,41.01
NVDA,2023-02-14,2023-05-15,22.92,28.89,26.06
NVDA,2023-05-15,2023-08-14,28.89,43.67,51.13
NVDA,2023-08-14,2023-11-14,43.67,49.56,13.50
NVDA,2023-11-14,2024-02-14,49.56,73.77,48.84
NVDA,2024-02-14,2024-05-15,73.77,94.47,28.06
NVDA,2024-05-15,2024-08-14,94.47,117.89,24.79
NVDA,2024-08-14,2024-11-14,117.89,146.53,24.30
NVDA,2024-11-14,2025-02-14,146.53,138.64,-5.38
NVDA,2025-02-14,2025-05-15,138.64,134.64,-2.89
NVDA,2025-05-15,2025-08-14,134.64,181.78,35.01
NVDA,2025-08-14,2025-11-14,181.78,189.93,4.48
NVDA,2025-11-14,2026-02-17,189.93,184.74,-2.73
NVDA,2026-02-17,2026-05-18,184.74,222.06,20.20
ORCL,2020-05-15,2020-08-14,48.65,50.03,2.85
ORCL,2020-08-14,2020-11-16,50.03,52.97,5.87
ORCL,2020-11-16,2021-02-16,52.97,57.82,9.15
ORCL,2021-02-16,2021-06-01,57.82,74.35,28.60
ORCL,2021-06-01,2021-08-16,74.35,85.18,14.56
ORCL,2021-08-16,2021-11-15,85.18,88.49,3.88
ORCL,2021-11-15,2022-02-14,88.49,74.58,-15.72
ORCL,2022-02-14,2022-05-16,74.58,66.11,-11.36
ORCL,2022-05-16,2022-08-15,66.11,75.36,13.99
ORCL,2022-08-15,2022-11-14,75.36,75.19,-0.23
ORCL,2022-11-14,2023-02-14,75.19,85.62,13.87
ORCL,2023-02-14,2023-05-15,85.62,93.87,9.64
ORCL,2023-05-15,2023-08-14,93.87,111.93,19.24
ORCL,2023-08-14,2023-11-14,111.93,112.86,0.83
ORCL,2023-11-14,2024-02-14,112.86,111.50,-1.20
ORCL,2024-02-14,2024-05-15,111.50,119.08,6.79
ORCL,2024-05-15,2024-08-14,119.08,133.13,11.80
ORCL,2024-08-14,2024-11-14,133.13,184.05,38.25
ORCL,2024-11-14,2025-02-14,184.05,171.81,-6.65
ORCL,2025-02-14,2025-05-15,171.81,157.82,-8.15
ORCL,2025-05-15,2025-08-14,157.82,243.04,54.00
ORCL,2025-08-14,2025-11-14,243.04,221.49,-8.87
ORCL,2025-11-14,2026-02-17,221.49,153.43,-30.73
ORCL,2026-02-17,2026-05-18,153.43,186.61,21.62
P,2020-05-15,2020-08-14,14.29,15.96,11.69
P,2020-08-14,2020-11-16,15.96,18.32,14.79
P,2020-11-16,2021-02-16,18.32,28.10,53.38
P,2021-02-16,2021-06-01,28.10,18.75,-33.27
P,2021-06-01,2021-08-16,18.75,19.53,4.16
P,2021-08-16,2021-11-15,19.53,28.07,43.73
P,2021-11-15,2022-02-14,28.07,26.18,-6.73
P,2022-02-14,2022-05-16,26.18,26.02,-0.61
P,2022-05-16,2022-08-15,26.02,30.28,16.37
P,2022-08-15,2022-11-14,30.28,31.07,2.61
P,2022-11-14,2023-02-14,31.07,31.32,0.80
P,2023-02-14,2023-05-15,31.32,23.62,-24.58
P,2023-05-15,2023-08-14,23.62,36.64,55.12
P,2023-08-14,2023-11-14,36.64,37.86,3.33
P,2023-11-14,2024-02-14,37.86,42.43,12.07
P,2024-02-14,2024-05-15,42.43,59.59,40.44
P,2024-05-15,2024-08-14,59.59,60.30,1.19
P,2024-08-14,2024-11-14,60.30,49.83,-17.36
P,2024-11-14,2025-02-14,49.83,67.80,36.06
P,2025-02-14,2025-05-15,67.80,55.48,-18.17
P,2025-05-15,2025-08-14,55.48,57.85,4.27
P,2025-08-14,2025-11-14,57.85,84.59,46.22
P,2025-11-14,2026-02-17,84.59,72.69,-14.07
P,2026-02-17,2026-05-18,72.69,77.07,6.03
ROG,2020-05-15,2020-08-14,96.43,122.48,27.01
ROG,2020-08-14,2020-11-16,122.48,145.27,18.61
ROG,2020-11-16,2021-02-16,145.27,180.25,24.08
ROG,2021-02-16,2021-06-01,180.25,192.17,6.61
ROG,2021-06-01,2021-08-16,192.17,198.97,3.54
ROG,2021-08-16,2021-11-15,198.97,269.83,35.61
ROG,2021-11-15,2022-02-14,269.83,272.71,1.07
ROG,2022-02-14,2022-05-16,272.71,259.86,-4.71
ROG,2022-05-16,2022-08-15,259.86,269.68,3.78
ROG,2022-08-15,2022-11-14,269.68,103.78,-61.52
ROG,2022-11-14,2023-02-14,103.78,150.11,44.64
ROG,2023-02-14,2023-05-15,150.11,157.85,5.16
ROG,2023-05-15,2023-08-14,157.85,146.77,-7.02
ROG,2023-08-14,2023-11-14,146.77,129.92,-11.48
ROG,2023-11-14,2024-02-14,129.92,116.14,-10.61
ROG,2024-02-14,2024-05-15,116.14,121.14,4.31
ROG,2024-05-15,2024-08-14,121.14,103.46,-14.59
ROG,2024-08-14,2024-11-14,103.46,104.01,0.53
ROG,2024-11-14,2025-02-14,104.01,89.34,-14.10
ROG,2025-02-14,2025-05-15,89.34,69.77,-21.91
ROG,2025-05-15,2025-08-14,69.77,76.52,9.67
ROG,2025-08-14,2025-11-14,76.52,78.35,2.39
ROG,2025-11-14,2026-02-17,78.35,103.13,31.63
ROG,2026-02-17,2026-05-18,103.13,133.80,29.74
SMTC,2020-05-15,2020-08-14,42.39,63.03,48.69
SMTC,2020-08-14,2020-11-16,63.03,67.72,7.44
SMTC,2020-11-16,2021-02-16,67.72,79.00,16.66
SMTC,2021-02-16,2021-06-01,79.00,62.95,-20.32
SMTC,2021-06-01,2021-08-16,62.95,65.11,3.43
SMTC,2021-08-16,2021-11-15,65.11,89.82,37.95
SMTC,2021-11-15,2022-02-14,89.82,68.53,-23.70
SMTC,2022-02-14,2022-05-16,68.53,59.31,-13.45
SMTC,2022-05-16,2022-08-15,59.31,55.00,-7.27
SMTC,2022-08-15,2022-11-14,55.00,29.73,-45.95
SMTC,2022-11-14,2023-02-14,29.73,32.41,9.01
SMTC,2023-02-14,2023-05-15,32.41,19.12,-41.01
SMTC,2023-05-15,2023-08-14,19.12,25.45,33.11
SMTC,2023-08-14,2023-11-14,25.45,15.47,-39.21
SMTC,2023-11-14,2024-02-14,15.47,20.26,30.96
SMTC,2024-02-14,2024-05-15,20.26,39.96,97.24
SMTC,2024-05-15,2024-08-14,39.96,33.42,-16.37
SMTC,2024-08-14,2024-11-14,33.42,47.33,41.62
SMTC,2024-11-14,2025-02-14,47.33,37.38,-21.02
SMTC,2025-02-14,2025-05-15,37.38,39.64,6.05
SMTC,2025-05-15,2025-08-14,39.64,50.52,27.45
SMTC,2025-08-14,2025-11-14,50.52,65.46,29.57
SMTC,2025-11-14,2026-02-17,65.46,87.66,33.91
SMTC,2026-02-17,2026-05-18,87.66,132.39,51.03
SNOW,2020-05-15,2020-08-14,,,PRE_IPO
SNOW,2020-08-14,2020-11-16,,,PRE_IPO
SNOW,2020-11-16,2021-02-16,241.85,294.55,21.79
SNOW,2021-02-16,2021-06-01,294.55,240.81,-18.24
SNOW,2021-06-01,2021-08-16,240.81,282.17,17.18
SNOW,2021-08-16,2021-11-15,282.17,393.70,39.53
SNOW,2021-11-15,2022-02-14,393.70,291.13,-26.05
SNOW,2022-02-14,2022-05-16,291.13,144.51,-50.36
SNOW,2022-05-16,2022-08-15,144.51,170.44,17.94
SNOW,2022-08-15,2022-11-14,170.44,157.84,-7.39
SNOW,2022-11-14,2023-02-14,157.84,171.02,8.35
SNOW,2023-02-14,2023-05-15,171.02,172.05,0.60
SNOW,2023-05-15,2023-08-14,172.05,152.86,-11.15
SNOW,2023-08-14,2023-11-14,152.86,165.86,8.50
SNOW,2023-11-14,2024-02-14,165.86,236.00,42.29
SNOW,2024-02-14,2024-05-15,236.00,164.37,-30.35
SNOW,2024-05-15,2024-08-14,164.37,127.30,-22.55
SNOW,2024-08-14,2024-11-14,127.30,129.27,1.55
SNOW,2024-11-14,2025-02-14,129.27,187.60,45.12
SNOW,2025-02-14,2025-05-15,187.60,182.97,-2.47
SNOW,2025-05-15,2025-08-14,182.97,194.90,6.52
SNOW,2025-08-14,2025-11-14,194.90,257.02,31.87
SNOW,2025-11-14,2026-02-17,257.02,177.10,-31.09
SNOW,2026-02-17,2026-05-18,177.10,164.24,-7.26
SNPS,2020-05-15,2020-08-14,158.73,196.16,23.58
SNPS,2020-08-14,2020-11-16,196.16,222.34,13.35
SNPS,2020-11-16,2021-02-16,222.34,290.67,30.73
SNPS,2021-02-16,2021-06-01,290.67,253.82,-12.68
SNPS,2021-06-01,2021-08-16,253.82,294.42,16.00
SNPS,2021-08-16,2021-11-15,294.42,345.75,17.43
SNPS,2021-11-15,2022-02-14,345.75,294.96,-14.69
SNPS,2022-02-14,2022-05-16,294.96,273.73,-7.20
SNPS,2022-05-16,2022-08-15,273.73,390.45,42.64
SNPS,2022-08-15,2022-11-14,390.45,330.68,-15.31
SNPS,2022-11-14,2023-02-14,330.68,375.94,13.69
SNPS,2023-02-14,2023-05-15,375.94,373.28,-0.71
SNPS,2023-05-15,2023-08-14,373.28,434.85,16.49
SNPS,2023-08-14,2023-11-14,434.85,538.32,23.79
SNPS,2023-11-14,2024-02-14,538.32,562.73,4.53
SNPS,2024-02-14,2024-05-15,562.73,580.20,3.10
SNPS,2024-05-15,2024-08-14,580.20,530.80,-8.51
SNPS,2024-08-14,2024-11-14,530.80,548.31,3.30
SNPS,2024-11-14,2025-02-14,548.31,522.53,-4.70
SNPS,2025-02-14,2025-05-15,522.53,514.48,-1.54
SNPS,2025-05-15,2025-08-14,514.48,616.36,19.80
SNPS,2025-08-14,2025-11-14,616.36,389.83,-36.75
SNPS,2025-11-14,2026-02-17,389.83,421.95,8.24
SNPS,2026-02-17,2026-05-18,421.95,498.43,18.13
TSLA,2020-05-15,2020-08-14,53.28,110.05,106.55
TSLA,2020-08-14,2020-11-16,110.05,136.03,23.61
TSLA,2020-11-16,2021-02-16,136.03,265.41,95.11
TSLA,2021-02-16,2021-06-01,265.41,207.97,-21.64
TSLA,2021-06-01,2021-08-16,207.97,228.72,9.98
TSLA,2021-08-16,2021-11-15,228.72,337.80,47.69
TSLA,2021-11-15,2022-02-14,337.80,291.92,-13.58
TSLA,2022-02-14,2022-05-16,291.92,241.46,-17.29
TSLA,2022-05-16,2022-08-15,241.46,309.32,28.11
TSLA,2022-08-15,2022-11-14,309.32,190.95,-38.27
TSLA,2022-11-14,2023-02-14,190.95,209.25,9.58
TSLA,2023-02-14,2023-05-15,209.25,166.35,-20.50
TSLA,2023-05-15,2023-08-14,166.35,239.76,44.13
TSLA,2023-08-14,2023-11-14,239.76,237.41,-0.98
TSLA,2023-11-14,2024-02-14,237.41,188.71,-20.51
TSLA,2024-02-14,2024-05-15,188.71,173.99,-7.80
TSLA,2024-05-15,2024-08-14,173.99,201.38,15.74
TSLA,2024-08-14,2024-11-14,201.38,311.18,54.52
TSLA,2024-11-14,2025-02-14,311.18,355.84,14.35
TSLA,2025-02-14,2025-05-15,355.84,342.82,-3.66
TSLA,2025-05-15,2025-08-14,342.82,335.58,-2.11
TSLA,2025-08-14,2025-11-14,335.58,404.35,20.49
TSLA,2025-11-14,2026-02-17,404.35,410.63,1.55
TSLA,2026-02-17,2026-05-18,410.63,409.99,-0.16
VECO,2020-05-15,2020-08-14,10.87,13.72,26.26
VECO,2020-08-14,2020-11-16,13.72,15.72,14.54
VECO,2020-11-16,2021-02-16,15.72,21.91,39.38
VECO,2021-02-16,2021-06-01,21.91,24.01,9.58
VECO,2021-06-01,2021-08-16,24.01,21.59,-10.08
VECO,2021-08-16,2021-11-15,21.59,26.92,24.69
VECO,2021-11-15,2022-02-14,26.92,27.30,1.41
VECO,2022-02-14,2022-05-16,27.30,21.72,-20.44
VECO,2022-05-16,2022-08-15,21.72,23.14,6.54
VECO,2022-08-15,2022-11-14,23.14,19.45,-15.95
VECO,2022-11-14,2023-02-14,19.45,20.48,5.30
VECO,2023-02-14,2023-05-15,20.48,21.63,5.62
VECO,2023-05-15,2023-08-14,21.63,30.45,40.78
VECO,2023-08-14,2023-11-14,30.45,28.12,-7.65
VECO,2023-11-14,2024-02-14,28.12,35.30,25.53
VECO,2024-02-14,2024-05-15,35.30,40.70,15.30
VECO,2024-05-15,2024-08-14,40.70,36.07,-11.38
VECO,2024-08-14,2024-11-14,36.07,27.31,-24.29
VECO,2024-11-14,2025-02-14,27.31,24.67,-9.67
VECO,2025-02-14,2025-05-15,24.67,21.26,-13.82
VECO,2025-05-15,2025-08-14,21.26,24.25,14.06
VECO,2025-08-14,2025-11-14,24.25,29.18,20.33
VECO,2025-11-14,2026-02-17,29.18,34.35,17.72
VECO,2026-02-17,2026-05-18,34.35,55.65,62.01
VST,2020-05-15,2020-08-14,16.30,16.84,3.28
VST,2020-08-14,2020-11-16,16.84,17.63,4.69
VST,2020-11-16,2021-02-16,17.63,19.65,11.49
VST,2021-02-16,2021-06-01,19.65,14.87,-24.31
VST,2021-06-01,2021-08-16,14.87,16.39,10.20
VST,2021-08-16,2021-11-15,16.39,18.81,14.75
VST,2021-11-15,2022-02-14,18.81,20.00,6.34
VST,2022-02-14,2022-05-16,20.00,23.33,16.63
VST,2022-05-16,2022-08-15,23.33,24.42,4.69
VST,2022-08-15,2022-11-14,24.42,21.74,-10.99
VST,2022-11-14,2023-02-14,21.74,21.97,1.07
VST,2023-02-14,2023-05-15,21.97,23.87,8.64
VST,2023-05-15,2023-08-14,23.87,29.42,23.26
VST,2023-08-14,2023-11-14,29.42,34.39,16.88
VST,2023-11-14,2024-02-14,34.39,43.47,26.41
VST,2024-02-14,2024-05-15,43.47,95.49,119.66
VST,2024-05-15,2024-08-14,95.49,78.29,-18.01
VST,2024-08-14,2024-11-14,78.29,137.11,75.13
VST,2024-11-14,2025-02-14,137.11,166.29,21.29
VST,2025-02-14,2025-05-15,166.29,151.08,-9.15
VST,2025-05-15,2025-08-14,151.08,201.30,33.24
VST,2025-08-14,2025-11-14,201.30,173.97,-13.58
VST,2025-11-14,2026-02-17,173.97,173.21,-0.44
VST,2026-02-17,2026-05-18,173.21,136.56,-21.16
XLNX,2020-05-15,2020-08-14,82.39,104.62,26.99
XLNX,2020-08-14,2020-11-16,104.62,130.83,25.04
XLNX,2020-11-16,2021-02-16,130.83,142.05,8.58
XLNX,2021-02-16,2021-06-01,142.05,127.46,-10.27
XLNX,2021-06-01,2021-08-16,127.46,142.11,11.50
XLNX,2021-08-16,2021-11-15,142.11,214.88,51.20
XLNX,2021-11-15,2022-02-14,214.88,194.92,-9.29
XLNX,2022-02-14,2022-05-16,,,NO_DATA
XLNX,2022-05-16,2022-08-15,,,NO_DATA
XLNX,2022-08-15,2022-11-14,,,NO_DATA
XLNX,2022-11-14,2023-02-14,,,NO_DATA
XLNX,2023-02-14,2023-05-15,,,NO_DATA
XLNX,2023-05-15,2023-08-14,,,NO_DATA
XLNX,2023-08-14,2023-11-14,,,NO_DATA
XLNX,2023-11-14,2024-02-14,,,NO_DATA
XLNX,2024-02-14,2024-05-15,,,NO_DATA
XLNX,2024-05-15,2024-08-14,,,NO_DATA
XLNX,2024-08-14,2024-11-14,,,NO_DATA
XLNX,2024-11-14,2025-02-14,,,NO_DATA
XLNX,2025-02-14,2025-05-15,,,NO_DATA
XLNX,2025-05-15,2025-08-14,,,NO_DATA
XLNX,2025-08-14,2025-11-14,,,NO_DATA
XLNX,2025-11-14,2026-02-17,,,NO_DATA
XLNX,2026-02-17,2026-05-18,,,NO_DATA
SMH,2020-05-15,2020-08-14,63.21,82.23,30.09
SMH,2020-08-14,2020-11-16,82.23,97.18,18.19
SMH,2020-11-16,2021-02-16,97.18,124.25,27.85
SMH,2021-02-16,2021-06-01,124.25,120.71,-2.85
SMH,2021-06-01,2021-08-16,120.71,126.77,5.02
SMH,2021-08-16,2021-11-15,126.77,145.88,15.07
SMH,2021-11-15,2022-02-14,145.88,129.28,-11.38
SMH,2022-02-14,2022-05-16,129.28,111.45,-13.79
SMH,2022-05-16,2022-08-15,111.45,120.22,7.86
SMH,2022-08-15,2022-11-14,120.22,106.67,-11.27
SMH,2022-11-14,2023-02-14,106.67,124.80,17.00
SMH,2023-02-14,2023-05-15,124.80,124.42,-0.30
SMH,2023-05-15,2023-08-14,124.42,148.63,19.46
SMH,2023-08-14,2023-11-14,148.63,158.92,6.92
SMH,2023-11-14,2024-02-14,158.92,201.78,26.96
SMH,2024-02-14,2024-05-15,201.78,232.15,15.05
SMH,2024-05-15,2024-08-14,232.15,234.62,1.06
SMH,2024-08-14,2024-11-14,234.62,246.32,4.99
SMH,2024-11-14,2025-02-14,246.32,251.80,2.22
SMH,2025-02-14,2025-05-15,251.80,246.36,-2.16
SMH,2025-05-15,2025-08-14,246.36,300.98,22.17
SMH,2025-08-14,2025-11-14,300.98,343.91,14.26
SMH,2025-11-14,2026-02-17,343.91,407.51,18.49
SMH,2026-02-17,2026-05-18,407.51,546.16,34.02
SPY,2020-05-15,2020-08-14,262.48,310.19,18.18
SPY,2020-08-14,2020-11-16,310.19,335.22,8.07
SPY,2020-11-16,2021-02-16,335.22,364.26,8.66
SPY,2021-02-16,2021-06-01,364.26,390.95,7.33
SPY,2021-06-01,2021-08-16,390.95,417.74,6.85
SPY,2021-08-16,2021-11-15,417.74,438.26,4.91
SPY,2021-11-15,2022-02-14,438.26,413.07,-5.75
SPY,2022-02-14,2022-05-16,413.07,377.62,-8.58
SPY,2022-05-16,2022-08-15,377.62,406.52,7.65
SPY,2022-08-15,2022-11-14,406.52,376.07,-7.49
SPY,2022-11-14,2023-02-14,376.07,394.55,4.91
SPY,2023-02-14,2023-05-15,394.55,396.41,0.47
SPY,2023-05-15,2023-08-14,396.41,431.70,8.90
SPY,2023-08-14,2023-11-14,431.70,433.82,0.49
SPY,2023-11-14,2024-02-14,433.82,483.96,11.56
SPY,2024-02-14,2024-05-15,483.96,515.86,6.59
SPY,2024-05-15,2024-08-14,515.86,531.17,2.97
SPY,2024-08-14,2024-11-14,531.17,581.40,9.46
SPY,2024-11-14,2025-02-14,581.40,599.43,3.10
SPY,2025-02-14,2025-05-15,599.43,582.26,-2.86
SPY,2025-05-15,2025-08-14,582.26,637.88,9.55
SPY,2025-08-14,2025-11-14,637.88,666.41,4.47
SPY,2025-11-14,2026-02-17,666.41,679.24,1.93
SPY,2026-02-17,2026-05-18,679.24,736.75,8.47
