date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,basket,basket_direction,basket_note,high_profile_venue,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y,resolved_basket,basket_source,basket_asterisk
2020-05-07,Power / watts as binding constraint,FIRST_MENTION,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that c","VST, CEG, NRG, ETR, TLN",LONG,US power/utility names Baker specifically tied to datacenter power demand,False,22.56,5.61,-7.91,57.61,14.25,28.7,84.09,76.77,8.31,-23.09,-92.0,-19.16,"VST, CEG",BAKER_NAMED,False
2020-07-27,DRAM / HBM memory bottleneck,FIRST_MENTION_AND_HC,high_conviction,1,10,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the enti",MU,LONG,Only US-listed pure-play HBM/DRAM producer,False,-12.58,2.44,43.86,20.66,5.12,10.92,53.26,41.8,-17.7,-8.47,-9.39,-21.14,MU,OBVIOUS_UNIVERSE,False
2020-07-27,Intel recovery / foundry failure,FIRST_MENTION_AND_HC,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; re,INTC,LONG,Thesis is about Intel specifically.,False,0.39,-2.1,10.13,-14.36,5.12,10.92,53.26,41.8,-4.72,-13.02,-43.13,-56.16,INTC,BAKER_NAMED,False
2021-11-01,SpaceX ecosystem / Starship economics,FIRST_MENTION,moderate,1,9,Graham & Doddsville (Columbia Business School) — Investor in,Starlink is a significant disruptor to leveraged telecom and broadband companies globally,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. RKLB is a distant comp but different thesis,False,-17.9,-46.8,-72.63,-79.03,9.77,0.46,-30.79,7.34,-27.67,-47.27,-41.84,-86.38,"RKLB, SPCE, RDW",RETAIL_PROXY,True
2021-11-30,Scaling laws intact,FIRST_MENTION_AND_HC,high_conviction,1,5,VS Partners / Financial Times Global Seattle Symposium — Glo,AI-driven scaling laws will dramatically increase semiconductor intensity of the global economy,"NVDA, MSFT",LONG,Scaling laws = more compute needed = GPU demand + hyperscaler capex,False,-3.4,-17.43,-35.13,29.34,2.16,-11.57,-24.91,7.47,-5.56,-5.86,-10.22,21.87,"NVDA, MSFT",OBVIOUS_UNIVERSE,False
2021-11-30,SpaceX ecosystem / Starship economics,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,9,VS Partners / Financial Times Global Seattle Symposium — Glo,SpaceX / Starlink is the only investable space company — dramatically lower launch costs will reshape the world,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. RKLB is a distant comp but different thesis,False,-20.95,-40.5,-72.62,-75.72,2.16,-11.57,-24.91,7.47,-23.11,-28.93,-47.71,-83.19,"RKLB, SPCE, RDW",RETAIL_PROXY,True
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e",Solar and battery storage compounding will solve climate change structurally; fossil fuels will phase out as photovoltaic efficiency compoun,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","Open-source model optimization (smaller models, efficiency gains) is a credible competitive threat to large GPU-intensive training runs, wit","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","Compute centralization is cyclical; AI will drive a move back toward edge computing as smaller, efficient models proliferate, reversing the ","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","GPU utilization efficiency is dramatically underoptimized (30% utilization during GPT-3/Palm training), and AI-driven optimization of this s","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,SaaS existential disruption,FIRST_MENTION_AND_HC,high_conviction,1,2,"This Week in Startups — AI platform shift, Nvidia outlook, e",Foundation Models as a Service (FMaaS) will replace Software as a Service (SaaS) — LLMs will consolidate the software stack the way the iPho,"CRM, NOW, HUBS, TEAM, SNOW",SHORT,"BEARISH thesis. These are the names at risk, not beneficiaries.",False,-1.74,-1.93,-0.78,-35.72,0.09,-4.46,77.01,79.53,-1.83,2.53,-77.79,-115.25,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,False
2024-01-15,Humanoid robotics / Tesla Optimus,FIRST_MENTION_AND_HC,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,LONG,"Tesla Optimus is the only US-listed humanoid robotics play at scale. Agility, Fi",True,-14.19,-28.56,88.18,90.65,15.71,24.74,44.23,123.87,-29.9,-53.29,43.95,-33.22,TSLA,BAKER_NAMED,False
2024-01-15,Humanoid robotics / Tesla Optimus,HC_HIGH_PROFILE_VENUE,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,LONG,"Tesla Optimus is the only US-listed humanoid robotics play at scale. Agility, Fi",True,-14.19,-28.56,88.18,90.65,15.71,24.74,44.23,123.87,-29.9,-53.29,43.95,-33.22,TSLA,BAKER_NAMED,False
2024-01-15,Optical networking / interconnect,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8,"CIEN, COHR, LITE",BAKER_NAMED,False
2024-01-15,Optical networking / interconnect,HC_HIGH_PROFILE_VENUE,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8,"CIEN, COHR, LITE",BAKER_NAMED,False
2024-01-15,Optical networking / interconnect,HC_HIGH_PROFILE_VENUE,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Token efficiency is the key competitive axis for AI models — Anthropic leads on this metric,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8,"CIEN, COHR, LITE",BAKER_NAMED,False
2024-01-15,Orbital / space-based compute,FIRST_MENTION,moderate,1,8,iConnections Global Alts 2024 — Markets panel,Space-based compute (racks in space connected by laser) is a viable and strategically important architecture,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. No pure-play orbital compute equity.,True,19.53,10.55,466.82,1332.24,15.71,24.74,44.23,123.87,3.82,-14.19,422.59,1208.37,"RKLB, LUNR, ASTS, RDW",RETAIL_PROXY,True
2024-01-15,SaaS existential disruption,HC_HIGH_PROFILE_VENUE,high_conviction,2,2,iConnections Global Alts 2024 — Markets panel,SaaS/software companies face existential risk from AI-enabled vibe coding and autonomous software development,"CRM, NOW, HUBS, TEAM, SNOW",SHORT,"BEARISH thesis. These are the names at risk, not beneficiaries.",True,-7.88,8.38,-14.92,18.08,15.71,24.74,44.23,123.87,-23.59,-16.36,-59.15,-105.79,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,False
2024-02-14,China AI distillation / export controls,FIRST_MENTION_AND_HC,high_conviction,1,6,"Invested by Aleph — Semiconductors, AI, global warming, geop",US semiconductor export controls on China are working and have extended the Western lead to potentially multi-decade,"NVDA, LRCX, AMAT, KLAC",MIXED,"Export controls affect semcap equipment (LRCX, AMAT, KLAC) and NVDA China revenu",False,7.54,16.37,23.57,137.54,7.15,15.05,26.59,103.3,0.39,1.32,-3.01,34.25,"NVDA, LRCX, AMAT, KLAC",OBVIOUS_UNIVERSE,False
2024-02-14,Edge AI as bear case for cloud,FIRST_MENTION,moderate,1,2,"Invested by Aleph — Semiconductors, AI, global warming, geop",Edge AI / on-device AI is a meaningful risk to the centralized data center boom,"AAPL, QCOM",MIXED,"BEARISH for cloud (AMZN, MSFT, GOOGL). Potential beneficiaries: device-side chip",False,1.45,15.11,24.2,19.23,7.15,15.05,26.59,103.3,-5.7,0.06,-2.39,-84.06,"AAPL, QCOM",CONSTRUCTED,False
2024-02-14,Reasoning / inference-time compute,FIRST_MENTION_AND_HC,high_conviction,1,5,"Invested by Aleph — Semiconductors, AI, global warming, geop",Scaled foundation model companies are dramatically better investments post-reasoning models due to emergence of data flywheel,NVDA,LONG,Inference scaling = more GPU demand. NVDA is primary beneficiary.,False,12.89,8.7,26.32,84.1,7.15,15.05,26.59,103.3,5.74,-6.35,-0.27,-19.19,"NVDA, AMD",OBVIOUS_UNIVERSE,False
2024-06-15,AI networking (Ethernet/InfiniBand),FIRST_MENTION_AND_HC,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — rein,"ANET, MRVL",LONG,ANET = AI datacenter Ethernet switching. MRVL = custom networking/interconnect A,False,-2.19,6.14,1.45,90.78,-6.22,-14.22,-4.06,130.02,4.03,20.36,5.5,-39.24,ANET,BAKER_NAMED,False
2024-06-15,Google TPU competitive position,FIRST_MENTION,moderate,1,4,"All-In Podcast — DRAM bottleneck, AI infrastructure, Chinese","Chinese AI models (GLM 5.2) have achieved near-frontier capability through distillation of US model outputs, challenging the assumption of a",GOOGL,LONG,Thesis is about Google TPU specifically. Direction shifts over time (bull then b,False,0.25,-9.99,-5.53,96.79,-6.22,-14.22,-4.06,130.02,6.47,4.23,-1.47,-33.22,GOOGL,BAKER_NAMED,False
2024-07-01,Humanoid robotics / Tesla Optimus,THIRD_MENTION_WITHIN_1YR,moderate,3,4,"Thematic Investors — Blending sci-fi, history and literature",Humanoid robots will revolutionize blue-collar work once LLM reasoning capabilities are embedded,TSLA,LONG,"Tesla Optimus is the only US-listed humanoid robotics play at scale. Agility, Fi",False,10.58,24.67,50.27,INSUFFICIENT_DATA,-5.37,-5.96,9.14,INSUFFICIENT_DATA,15.95,30.63,41.12,INSUFFICIENT_DATA,TSLA,BAKER_NAMED,False
2024-07-01,Power / watts as binding constraint,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,6,"Thematic Investors — Blending sci-fi, history and literature",Power availability is the binding constraint on AI data center scaling; only three viable gigawatt-scale sites exist in the US,"VST, CEG, NRG, ETR, TLN",LONG,US power/utility names Baker specifically tied to datacenter power demand,False,-8.37,31.54,87.36,INSUFFICIENT_DATA,-5.37,-5.96,9.14,INSUFFICIENT_DATA,-3.0,37.51,78.22,INSUFFICIENT_DATA,"VST, CEG",BAKER_NAMED,False
2024-12-07,AI capex ROI positive,FIRST_MENTION_AND_HC,high_conviction,1,4,"All-In Podcast — Trump transition, SEC/crypto regulation, xA",Hyperscaler ROI on AI capex has been strongly positive to date (ROIC went vertical post-GPU ramp) but the sustainability at $100B+ training ,"NVDA, AVGO, ANET",LONG,"If capex ROI is positive, hyperscalers keep spending = bullish for GPU/networkin",False,10.52,-11.28,62.2,INSUFFICIENT_DATA,0.9,-10.38,51.39,INSUFFICIENT_DATA,9.62,-0.9,10.8,INSUFFICIENT_DATA,"NVDA, AVGO, ANET",OBVIOUS_UNIVERSE,False
2024-12-07,AI capex ROI positive,FIRST_MENTION,high_conviction,1,4,"All-In Podcast — Trump transition, SEC/crypto regulation, xA","AI is already delivering measurable ROI for startups — companies at a given size are employing 50% fewer people than 3 years ago, replacing ","NVDA, AVGO, ANET",LONG,"If capex ROI is positive, hyperscalers keep spending = bullish for GPU/networkin",False,10.52,-11.28,62.2,INSUFFICIENT_DATA,0.9,-10.38,51.39,INSUFFICIENT_DATA,9.62,-0.9,10.8,INSUFFICIENT_DATA,"NVDA, AVGO, ANET",OBVIOUS_UNIVERSE,False
2024-12-07,China AI distillation / export controls,THIRD_MENTION_WITHIN_1YR,moderate,3,6,"All-In Podcast — Trump transition, SEC/crypto regulation, xA",US chip export restrictions on China are functioning as a 'sophon' (Three Body Problem reference) — a meaningful handicap — but necessity-dr,"NVDA, LRCX, AMAT, KLAC",MIXED,"Export controls affect semcap equipment (LRCX, AMAT, KLAC) and NVDA China revenu",False,-0.21,-6.7,75.57,INSUFFICIENT_DATA,0.9,-10.38,51.39,INSUFFICIENT_DATA,-1.1,3.68,24.18,INSUFFICIENT_DATA,"NVDA, LRCX, AMAT, KLAC",OBVIOUS_UNIVERSE,False
2025-01-04,Reasoning / inference-time compute,THIRD_MENTION_WITHIN_1YR,high_conviction,3,5,All-In Podcast — 2025 predictions (bestie guest Gavin Baker),Inference compute and test-time compute will cause a second GPU/accelerator shortage in 2025 analogous to 2023,NVDA,LONG,Inference scaling = more GPU demand. NVDA is primary beneficiary.,False,-14.43,-37.59,40.93,INSUFFICIENT_DATA,-4.57,-30.85,46.09,INSUFFICIENT_DATA,-9.86,-6.74,-5.16,INSUFFICIENT_DATA,"NVDA, AMD",OBVIOUS_UNIVERSE,False
2025-10-30,Custom ASIC failure thesis,FIRST_MENTION_AND_HC,high_conviction,1,3,a16z Podcast — Is there an AI bubble?,Most custom ASIC programs will fail within 3 years; Google TPU external sales could be the catalyst,NVDA,LONG,Thesis = NVDA wins because ASICs fail. NVDA is the beneficiary.,False,-11.32,-8.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-2.96,12.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-8.36,-21.02,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NVDA,OBVIOUS_UNIVERSE,False
2025-10-30,Google TPU competitive position,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,4,a16z Podcast — Is there an AI bubble?,Nvidia's roundtripping investments in AI labs are strategically rational competitive responses to Google's TPU ecosystem,GOOGL,LONG,Thesis is about Google TPU specifically. Direction shifts over time (bull then b,False,11.87,22.18,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-2.96,12.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,14.83,9.67,INSUFFICIENT_DATA,INSUFFICIENT_DATA,GOOGL,BAKER_NAMED,False
2025-11-15,Inference economics / token factories,FIRST_MENTION_AND_HC,high_conviction,1,2,"TBPN — Token factories, sovereign AI",Being a 'token factory' is sufficient as a business model for the next 5-10 years; the world needs more token factories,CRWV,LONG,CRWV after IPO. SpaceX compute business is private.,False,-14.31,28.95,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-0.31,20.92,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-14.0,8.04,INSUFFICIENT_DATA,INSUFFICIENT_DATA,CRWV,OBVIOUS_UNIVERSE,False
2025-11-15,Orbital / space-based compute,FIRST_HC_NOT_FIRST_MENTION,high_conviction,3,8,"TBPN — Token factories, sovereign AI","SpaceX near-term value is driven by terrestrial compute gigawatt ramp and Grok/cursor adoption, not long-duration space optionality",NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. No pure-play orbital compute equity.,False,17.14,73.76,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-0.31,20.92,INSUFFICIENT_DATA,INSUFFICIENT_DATA,17.45,52.85,INSUFFICIENT_DATA,INSUFFICIENT_DATA,"RKLB, LUNR, ASTS, RDW",RETAIL_PROXY,True
2025-11-15,Sovereign AI,FIRST_MENTION_AND_HC,high_conviction,1,1,"TBPN — Token factories, sovereign AI","Sovereign AI for most countries will be fine-tuned open-source models run in local data centers, not frontier model development; China will ",NO_BASKET,LONG,NO CLEAR BASKET. Benefits local DC operators in non-US countries. No obvious US ,False,NO_BASKET,NO_BASKET,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-0.31,20.92,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NO_BASKET,NO_BASKET,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,NO_BASKET,False
2025-12-09,TSMC capacity discipline,FIRST_MENTION,moderate,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI","TSMC is being too conservative in capacity expansion, acting as a governor on the AI buildout but potentially making a strategic mistake",TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,False,6.94,11.26,INSUFFICIENT_DATA,INSUFFICIENT_DATA,5.81,5.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1.13,5.75,INSUFFICIENT_DATA,INSUFFICIENT_DATA,TSM,BAKER_NAMED,False
2025-12-09,Trainium / Amazon custom silicon,FIRST_MENTION,moderate,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI","Anthropic is burning dramatically less cash than OpenAI while growing faster, benefiting from Google/Amazon TPU and Trainium access",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,8.54,-8.07,INSUFFICIENT_DATA,INSUFFICIENT_DATA,5.81,5.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,2.73,-13.58,INSUFFICIENT_DATA,INSUFFICIENT_DATA,AMZN,BAKER_NAMED,False
2025-12-09,Trainium / Amazon custom silicon,FIRST_MENTION_AND_HC,high_conviction,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI",Most ASICs other than Trainium and TPU will fail; only those with multi-generation experience will be competitive,AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,8.54,-8.07,INSUFFICIENT_DATA,INSUFFICIENT_DATA,5.81,5.51,INSUFFICIENT_DATA,INSUFFICIENT_DATA,2.73,-13.58,INSUFFICIENT_DATA,INSUFFICIENT_DATA,AMZN,BAKER_NAMED,False
2026-05-12,Neoclouds as durable model,FIRST_MENTION_AND_HC,high_conviction,1,1,Sohn NY 2026 — Tech investing fireside,"Neo/specialist clouds (CoreWeave, Crusoe, Nebius, Lambda) represent a durable business model, not a transitional arbitrage",CRWV,LONG,"CRWV only after IPO. Crusoe, Lambda, Nebius are private.",True,-11.15,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,8.59,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-19.73,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,CRWV,OBVIOUS_UNIVERSE,False
2026-05-12,Neoclouds as durable model,HC_HIGH_PROFILE_VENUE,high_conviction,1,1,Sohn NY 2026 — Tech investing fireside,"Neo/specialist clouds (CoreWeave, Crusoe, Nebius, Lambda) represent a durable business model, not a transitional arbitrage",CRWV,LONG,"CRWV only after IPO. Crusoe, Lambda, Nebius are private.",True,-11.15,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,8.59,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-19.73,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,CRWV,OBVIOUS_UNIVERSE,False
2026-05-12,TSMC capacity discipline,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,TSMC's deliberate capacity restraint will prevent an AI bubble and sustain a prolonged upcycle in leading-edge wafer supply,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,True,6.18,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,8.59,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-2.4,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,TSM,BAKER_NAMED,False
2026-05-12,TSMC capacity discipline,HC_HIGH_PROFILE_VENUE,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,TSMC's deliberate capacity restraint will prevent an AI bubble and sustain a prolonged upcycle in leading-edge wafer supply,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,True,6.18,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,8.59,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-2.4,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,TSM,BAKER_NAMED,False
2026-05-12,Trainium / Amazon custom silicon,HC_HIGH_PROFILE_VENUE,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,"Trainium is the most underestimated Nvidia alternative in 2026, analogous to what TPUs were in 2025",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,True,-9.15,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,8.59,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-17.73,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,AMZN,BAKER_NAMED,False
2026-05-20,ALAB / copper vs fiber,FIRST_MENTION_AND_HC,high_conviction,1,1,Invest Like the Best (YouTube) — Watts and wafers,"Astera Labs is a high-conviction long that has been miscategorized as a 'copper loser' in market baskets, when it is structurally a benefici",ALAB,LONG,Thesis is about Astera Labs specifically.,False,52.94,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,18.46,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,34.47,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,ALAB,BAKER_NAMED,False
2026-05-20,TSMC capacity discipline,THIRD_MENTION_WITHIN_1YR,high_conviction,3,3,Invest Like the Best (YouTube) — Watts and wafers,TSMC's capacity discipline is the single most important variable in preventing an AI infrastructure bubble,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,False,16.66,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,18.46,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-1.8,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,TSM,BAKER_NAMED,False
2026-05-20,Trainium / Amazon custom silicon,THIRD_MENTION_WITHIN_1YR,moderate,3,3,Invest Like the Best (YouTube) — Watts and wafers,"Amazon is in a strong position due to Trainium, real P&L efficiencies from robotics in retail over the next 18 months, and underappreciated ",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,-12.16,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,18.46,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-30.62,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,AMZN,BAKER_NAMED,False
2026-06-11,Custom ASIC failure thesis,THIRD_MENTION_WITHIN_1YR,high_conviction,3,3,"BG2 Pod — SpaceX IPO, AI capex, Cursor","Nvidia is maintaining and potentially gaining GPU market share despite ASIC competition, contrary to consensus expectations",NVDA,LONG,Thesis = NVDA wins because ASICs fail. NVDA is the beneficiary.,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NVDA,OBVIOUS_UNIVERSE,False
